airfoil,max_CL,stall_angle,min_CD,max_CL_CD,best_alpha,CL_at_0
ag03,1.1461,10.0,0.0082,60.456273764258555,4.0,
clarky,1.3907,13.0,0.01016,72.8830963665087,5.0,0.4424
e168,1.0576,12.0,0.01045,53.48329925017041,7.0,0.0
e174,1.3206,12.0,0.00934,82.52557041699448,6.0,0.4082
e186,0.9804,10.0,0.01139,59.252873563218394,6.0,0.1164
e193,1.2783,13.0,0.00956,82.21729490022173,7.0,0.4168
e195,1.2299,14.0,0.01052,78.85032537960954,7.0,0.412
e197,1.1896,15.0,0.01185,77.55420054200542,8.0,0.2785
e203,1.2231,15.0,0.01197,77.19572953736655,7.0,0.3428
e207,1.1722,14.0,0.01008,73.55140186915887,8.0,0.2977
e210,1.4735,11.0,0.01131,78.32660126947489,8.0,0.5386
e214,1.3913,14.0,0.0105,87.44305657604701,6.0,0.5463
e216,1.5817,14.0,0.01133,99.175,4.0,0.6721
e220,1.1221,14.0,0.01187,75.80645161290322,7.0,0.3202
e222,1.2661,12.0,0.00927,76.55737704918033,5.0,0.3138
e228,0.9282,10.0,0.00938,51.56357388316151,5.0,0.054
e230,0.8009,9.0,0.00896,41.509584664536746,5.0,-0.0484
e387,1.3174,12.0,0.00934,82.47813411078717,7.0,0.4037
e392,1.3642,13.0,0.00987,86.22463768115942,7.0,0.4489
e395,1.4887,9.0,0.01333,92.10078534031413,7.0,0.69
e398,1.5806,10.0,0.01394,84.225580140313,9.0,0.6726
e399,1.5726,10.0,0.01412,82.85714285714286,9.0,0.6656
fx60126,1.5381,15.0,0.01191,79.50460014154281,6.0,0.4999
fx63137,1.6902,15.0,0.01307,90.55248618784532,6.0,0.8835
fx76mp140,1.688,13.0,0.01917,78.11704834605597,8.0,0.6973
goe225,1.8528,13.0,0.01422,86.15429573348918,5.0,0.9486
goe226,1.9266,13.0,0.01501,85.38218572331016,4.0,0.9421
goe227,1.8552,12.0,0.01564,87.25366876310272,7.0,0.9612
goe228,1.931,13.0,0.01482,70.56603773584905,5.0,0.8808
goe535,1.7301,15.0,0.01406,67.61693746922697,7.0,0.6519
mh32,1.1571,10.0,0.00898,72.07413945278023,5.0,0.331
mh42,1.088,10.0,0.00866,66.20772946859903,6.0,0.231
mh43,1.0511,10.0,0.00854,66.25,5.0,0.2078
mh44,1.1239,12.0,0.00901,60.366972477064216,6.0,0.2182
mh45,1.1853,13.0,0.00934,60.625,6.0,0.1599
mh60,1.1547,12.0,0.00952,61.40965732087227,6.0,0.1771
mh61,1.0088,10.0,0.0101,63.820319059613766,6.0,0.155
mh62,1.1061,11.0,0.00902,60.411810411810414,6.0,0.167
mh78,1.2377,12.0,0.01208,42.35646958011997,8.0,0.1161
naca0010,0.9615,10.0,0.00915,44.34080717488789,4.0,-0.0
naca0015,1.2061,15.0,0.01073,49.61190168175938,6.0,0.0
naca1408,0.9464,9.0,0.00829,55.04854368932038,4.0,0.0856
naca1412,1.2236,13.0,0.01012,57.46122448979592,5.0,0.1299
naca2408,1.0858,9.0,0.0086,66.55511811023622,4.0,0.245
naca2410,1.236,11.0,0.00902,67.12211784799317,5.0,0.2938
naca2412,1.3197,14.0,0.0098,66.6068759342302,6.0,0.286
naca2415,1.3308,15.0,0.01087,63.97675919948354,7.0,0.2274
naca2418,1.2905,15.0,0.01214,60.692951015531655,7.0,0.2306
naca4412,1.4341,15.0,0.01005,78.13151041666666,7.0,0.4937
naca4415,1.3817,15.0,0.01142,71.02713178294573,6.0,0.4951
naca4418,1.4598,14.0,0.01275,66.82451253481894,7.0,0.4588
s1020,1.5011,11.0,0.01391,81.89960068454079,8.0,0.6413
s1046,1.1102,13.0,0.01286,54.994103773584904,8.0,-0.0
s1048,1.0077,13.0,0.01123,55.929018789144045,7.0,0.0
s1210,1.9597,15.0,0.01311,86.28237684103607,6.0,1.0529
s1221,1.9461,13.0,0.01314,70.0419527078566,11.0,0.6732
s1223,2.2916,13.0,0.01778,73.59284116331096,4.0,1.1864
s2027,1.3514,12.0,0.01201,69.31449188214071,8.0,0.2842
s2048,1.1061,9.0,0.00913,75.70378151260503,4.0,0.2356
sd2030,1.1605,10.0,0.00955,76.87174139728884,4.0,0.2505
sd6060,1.1281,11.0,0.01015,69.54318936877077,6.0,0.267
sd6080,1.3446,13.0,0.00948,83.2666132906325,6.0,0.409
sd7003,1.2235,11.0,0.00809,57.99838579499597,5.0,
sd7037,1.3301,13.0,0.009,74.56213511259382,5.0,0.3841
sd7062,1.5895,15.0,0.01127,69.87544483985765,7.0,0.4316
sd7080,1.2608,12.0,0.00882,69.22693266832917,5.0,0.3404
sd7084,1.1808,12.0,0.00893,65.56013179571664,5.0,0.3434
