,airfoil,max_CL,stall_angle,min_CD,max_CL_CD,best_alpha,CL_at_0
1,e216,1.5817,14.0,0.01133,99.175,4.0,0.6721
2,e395,1.4887,9.0,0.01333,92.10078534031412,7.0,0.69
3,fx63137,1.6902,15.0,0.01307,90.55248618784532,6.0,0.8835
4,e214,1.3913,14.0,0.0105,87.44305657604701,6.0,0.5463
5,goe227,1.8552,12.0,0.01564,87.25366876310272,7.0,0.9612
6,s1210,1.9597,15.0,0.01311,86.28237684103607,6.0,1.0529
7,e392,1.3642,13.0,0.00987,86.22463768115942,7.0,0.4489
8,goe225,1.8528,13.0,0.01422,86.15429573348918,5.0,0.9486
9,goe226,1.9266,13.0,0.01501,85.38218572331016,4.0,0.9421
10,e398,1.5806,10.0,0.01394,84.225580140313,9.0,0.6726
11,sd6080,1.3446,13.0,0.00948,83.2666132906325,6.0,0.409
12,e399,1.5726,10.0,0.01412,82.85714285714286,9.0,0.6656
13,e174,1.3206,12.0,0.00934,82.52557041699448,6.0,0.4082
14,e387,1.3174,12.0,0.00934,82.47813411078717,7.0,0.4037
15,e193,1.2783,13.0,0.00956,82.21729490022173,7.0,0.4168
16,s1020,1.5011,11.0,0.01391,81.89960068454079,8.0,0.6413
17,fx60126,1.5381,15.0,0.01191,79.50460014154281,6.0,0.4999
18,e195,1.2299,14.0,0.01052,78.85032537960954,7.0,0.412
19,e210,1.4735,11.0,0.01131,78.32660126947489,8.0,0.5386
20,naca4412,1.4341,15.0,0.01005,78.13151041666666,7.0,0.4937
21,fx76mp140,1.688,13.0,0.01917,78.11704834605597,8.0,0.6973
22,e197,1.1896,15.0,0.01185,77.55420054200542,8.0,0.2785
23,e203,1.2231,15.0,0.01197,77.19572953736655,7.0,0.3428
24,sd2030,1.1605,10.0,0.00955,76.87174139728884,4.0,0.2505
25,e222,1.2661,12.0,0.00927,76.55737704918033,5.0,0.3138
26,e220,1.1221,14.0,0.01187,75.80645161290322,7.0,0.3202
27,s2048,1.1061,9.0,0.00913,75.70378151260503,4.0,0.2356
28,sd7037,1.3301,13.0,0.009,74.56213511259382,5.0,0.3841
29,s1223,2.2916,13.0,0.01778,73.59284116331096,4.0,1.1864
30,e207,1.1722,14.0,0.01008,73.55140186915887,8.0,0.2977
31,clarky,1.3907,13.0,0.01016,72.8830963665087,5.0,0.4424
32,mh32,1.1571,10.0,0.00898,72.07413945278023,5.0,0.331
33,naca4415,1.3817,15.0,0.01142,71.02713178294573,6.0,0.4951
34,goe228,1.931,13.0,0.01482,70.56603773584905,5.0,0.8808
35,s1221,1.9461,13.0,0.01314,70.0419527078566,11.0,0.6732
36,sd7062,1.5895,15.0,0.01127,69.87544483985765,7.0,0.4316
37,sd6060,1.1281,11.0,0.01015,69.54318936877077,6.0,0.267
38,s2027,1.3514,12.0,0.01201,69.31449188214071,8.0,0.2842
39,sd7080,1.2608,12.0,0.00882,69.22693266832917,5.0,0.3404
40,goe535,1.7301,15.0,0.01406,67.61693746922697,7.0,0.6519
41,naca2410,1.236,11.0,0.00902,67.12211784799317,5.0,0.2938
42,naca4418,1.4598,14.0,0.01275,66.82451253481894,7.0,0.4588
43,naca2412,1.3197,14.0,0.0098,66.6068759342302,6.0,0.286
44,naca2408,1.0858,9.0,0.0086,66.55511811023622,4.0,0.245
45,mh43,1.0511,10.0,0.00854,66.25,5.0,0.2078
46,mh42,1.088,10.0,0.00866,66.20772946859903,6.0,0.231
47,sd7084,1.1808,12.0,0.00893,65.56013179571664,5.0,0.3434
48,naca2415,1.3308,15.0,0.01087,63.97675919948354,7.0,0.2274
49,mh61,1.0088,10.0,0.0101,63.820319059613766,6.0,0.155
50,mh60,1.1547,12.0,0.00952,61.40965732087227,6.0,0.1771
51,naca2418,1.2905,15.0,0.01214,60.692951015531655,7.0,0.2306
52,mh45,1.1853,13.0,0.00934,60.625,6.0,0.1599
53,ag03,1.1461,10.0,0.0082,60.45627376425856,4.0,
54,mh62,1.1061,11.0,0.00902,60.411810411810414,6.0,0.167
55,mh44,1.1239,12.0,0.00901,60.366972477064216,6.0,0.2182
56,e186,0.9804,10.0,0.01139,59.2528735632184,6.0,0.1164
57,sd7003,1.2235,11.0,0.00809,57.99838579499597,5.0,
58,naca1412,1.2236,13.0,0.01012,57.46122448979592,5.0,0.1299
59,s1048,1.0077,13.0,0.01123,55.929018789144045,7.0,0.0
60,naca1408,0.9464,9.0,0.00829,55.04854368932038,4.0,0.0856
61,s1046,1.1102,13.0,0.01286,54.9941037735849,8.0,-0.0
62,e168,1.0576,12.0,0.01045,53.48329925017041,7.0,0.0
63,e228,0.9282,10.0,0.00938,51.56357388316151,5.0,0.054
64,naca0015,1.2061,15.0,0.01073,49.61190168175938,6.0,0.0
65,naca0010,0.9615,10.0,0.00915,44.34080717488789,4.0,-0.0
66,mh78,1.2377,12.0,0.01208,42.35646958011997,8.0,0.1161
67,e230,0.8009,9.0,0.00896,41.509584664536746,5.0,-0.0484
